sid,e85_blender_pump,e85_other_ethanol_blends
46355,1.0,"[""E15"",""E20-E25"",""E40-Plus""]"
46357,0.0,
46358,1.0,"[""E15"",""E30-E35""]"
46360,0.0,
46361,0.0,
47229,0.0,
47303,0.0,
47308,1.0,"[""E15""]"
47309,1.0,"[""E15""]"
47310,0.0,
47311,0.0,
47314,1.0,"[""E30-E35""]"
47315,1.0,"[""E15"",""E30-E35""]"
47316,1.0,"[""E15"",""E30-E35""]"
47451,1.0,"[""E30-E35""]"
48016,0.0,
48018,0.0,
48020,0.0,
48022,0.0,
48023,1.0,"[""E20-E25""]"
48024,0.0,
48026,0.0,
48522,0.0,
48533,1.0,"[""E15""]"
48535,0.0,
48537,0.0,
48538,0.0,
48541,0.0,
48545,0.0,
48550,0.0,
48551,1.0,"[""E30-E35""]"
48552,1.0,"[""E30-E35""]"
48553,1.0,"[""E30-E35""]"
48554,1.0,"[""E30-E35""]"
48555,0.0,
48556,0.0,
48557,0.0,
48558,0.0,
48565,0.0,
48569,0.0,
48576,0.0,
48578,0.0,
48579,0.0,
48580,0.0,
